Date,Open,High,Low,Close,Adj Close,Volume
2020-03-30,34.740002,35.630001,34.549999,35.490002,34.716946,31400200
2020-03-31,34.830002,35.779999,34.250000,34.380001,33.850494,27786300
2020-04-01,33.160000,33.759998,32.049999,32.419998,31.920679,26097200
2020-04-02,32.099998,34.470001,32.060001,34.369999,33.840649,24683900
2020-04-03,34.099998,34.639999,33.410000,33.950001,33.427120,19312300
2020-04-06,35.369999,36.400002,35.090000,36.230000,35.672001,31583200
2020-04-07,36.950001,37.970001,36.730000,36.939999,36.371067,26379000
2020-04-08,37.230000,37.910000,36.759998,37.680000,37.099674,26522500
2020-04-09,37.490002,38.049999,36.799999,38.000000,37.414742,28618300
2020-04-13,37.450001,37.889999,36.580002,37.189999,36.617218,20237400
2020-04-14,37.560001,38.639999,37.230000,38.520000,37.926735,21803300
2020-04-15,37.779999,38.049999,36.750000,37.160000,36.587681,19786300
2020-04-16,37.529999,38.020000,36.660000,37.830002,37.247364,20973800
2020-04-17,38.549999,38.709999,37.680000,38.080002,37.493511,28736600
2020-04-20,37.680000,38.220001,37.119999,37.209999,36.636909,18444500
2020-04-21,36.750000,36.790001,35.529999,35.709999,35.160007,23004500
2020-04-22,36.230000,36.349998,35.680000,35.730000,35.179699,20118400
2020-04-23,35.830002,36.520000,35.799999,36.090000,35.534157,21194200
2020-04-24,36.150002,37.220001,36.150002,37.160000,36.587681,19188000
2020-04-27,37.570000,38.349998,37.400002,38.209999,37.621506,21775600
2020-04-28,38.630001,39.070000,37.910000,38.080002,37.493511,15958700
2020-04-29,38.820000,39.119999,38.349998,39.000000,38.399338,19110200
2020-04-30,36.509998,38.029999,36.009998,37.630001,37.050442,33212500
2020-05-01,37.139999,37.509998,36.779999,36.980000,36.410450,19951600
2020-05-04,37.150002,37.200001,35.919998,36.220001,35.662155,24906000
2020-05-05,36.389999,36.490002,35.990002,36.049999,35.494778,18784100
2020-05-06,36.220001,36.259998,35.099998,35.139999,34.598793,20151900
2020-05-07,35.580002,35.880001,35.369999,35.580002,35.032013,17462400
2020-05-08,36.250000,36.650002,36.000000,36.529999,35.967377,12979700
